external_id,question_text,choice_0,choice_1,choice_2,choice_3,correct_index,explanation,type,difficulty,tone,tags,usage_note
TP0055,A: I'm the best player here! B: ___.,Don't get above yourself,Don't get ahead of yourself,Don't get across yourself,Don't get around yourself,1,自信過剰になったり、先走ったりしないように警告する表現。,casual,medium,casual,Emotion,相手を少し戒める時に使われます
TP0056,A: How does this machine work? B: ___.,Beats me,Hits me,Kicks me,Punches me,0,「分からない」または「見当もつかない」という意味のカジュアルな表現。,casual,easy,casual,Learning,I don't knowの代わりによく使われます
TP0057,A: I forgot the report again. B: I'll ___ this time.,cut you some rope,cut you some string,cut you some wire,cut you some slack,3,誰かの間違いや欠点を見逃すこと。,idiom,medium,casual,"Emotion, Work",ビジネスでもカジュアルでも使われます
TP0058,A: Should I invest all my money in this? B: It's a ___.,long shot,far shot,high shot,deep shot,0,成功の可能性が低いもの。,idiom,medium,casual,"Action, Work",スポーツから派生した表現です
TP0059,A: The movie starts in 10 minutes! B: We need to ___.,step on it,jump on it,run on it,walk on it,0,誰かに急ぐように促す表現（車のアクセルを踏むことから）。,idiom,easy,casual,Travel,急いでいる時によく使われます
TP0060,"A: Can you fix my computer? B: Sure, it's ___.",a piece of pie,a piece of bread,a piece of cake,a piece of cheese,2,非常に簡単にできること。,idiom,easy,casual,Action,日常会話の定番イディオムです
TP0061,A: You look pale. B: I'm feeling a bit ___ today.,out of types,out of kinds,out of sorts,out of things,2,体調が悪い、またはいつもの自分とは違うと感じること。,idiom,medium,casual,"Health, Emotion",体調不良だけでなく、機嫌が悪い時にも使えます
TP0062,"A: Just tell him we were at the library. B: Fine, I'll ___.",play along,play around,play about,play away,0,誰かの嘘や計画に同意するふりをすること。,casual,medium,casual,"Communication, Social",一時的に協力するニュアンスがあります
TP0063,A: I think we should order pizza. B: ___.,I'm for you,I'm with you,I'm by you,I'm on you,1,誰かの意見や提案に同意すること。,casual,easy,friendly,"Social, Food",シンプルで使いやすい同意の表現です
TP0064,"A: Can I ask you a question? B: I'm busy, ___.",get out of my face,get out of my head,get out of my hair,get out of my mind,2,誰かに邪魔をするのをやめるように言う表現。,idiom,medium,rude,Social,少しキツい言い方なので注意が必要です
TP0065,A: Will this plan work? B: ___.,Clock will tell,Watch will tell,Hour will tell,Time will tell,3,将来になるまで結果が分からないもの。,idiom,easy,casual,"Time, Action",結果を待つしかない状況で使われます
TP0066,A: He was late again! B: That's ___.,the last straw,the final stick,the end leaf,the ultimate branch,0,忍耐力を失わせる最後の出来事。,idiom,medium,casual,Emotion,「ラクダの背骨を折る最後の藁」ということわざから
TP0067,"A: We missed the train! B: Don't worry, we'll ___.",figure it out,think it out,solve it out,guess it out,0,問題の解決策を見つけること。,casual,easy,casual,Action,困難な状況で励ます時によく使われます
TP0068,A: I passed the exam! B: ___.,Way to be,Way to go,Way to do,Way to make,1,誰かの成功や良い仕事を称賛する表現。,casual,easy,friendly,Social,カジュアルな賞賛の定番フレーズです
TP0069,A: I'm leaving now! B: ___.,Hold your dogs,Hold your cats,Hold your horses,Hold your birds,2,誰かに急がないように、または待つように言う表現。,idiom,medium,casual,Action,少しユーモアを交えて引き止める時に使われます
TP0070,A: I didn't expect to see you here! B: ___.,What a small earth,What a small planet,What a small globe,What a small world,3,予期しない場所で知り合いに会った時に使われる表現。,idiom,easy,friendly,"Emotion, Work",世界は狭いね、という意味です
TP0071,A: I'm driving to New York tonight. B: ___.,Safe travels,Safe trips,Safe journeys,Safe tours,0,旅行に出発する人への別れの挨拶。,casual,easy,polite,"Travel, Social",Have a safe tripと同じように使われます
TP0072,A: Do you know his name? B: It's ___.,on the tip of my lip,on the tip of my tongue,on the tip of my mouth,on the tip of my teeth,1,何かを知っているのに、どうしても思い出せない時。,idiom,medium,casual,Learning,名前や言葉が思い出せない時によく使われます
TP0073,"A: Let's see what happens tomorrow. B: Yeah, we'll ___.",leave it to luck,leave it to fate,leave it to chance,leave it to destiny,2,結果をコントロールしようとせず、物事を自然の成り行きに任せること。,casual,medium,casual,"Action, Time",計画を立てずに様子を見る時に使われます
TP0074,"A: I don't like this idea. B: Please, ___.",give it to me straight,give it to me direct,give it to me clear,give it to me plain,0,たとえ悪い知らせであっても、正直かつ直接的に話すこと。,idiom,medium,casual,Communication,悪い知らせを聞く覚悟ができている時に使われます
TP0075,A: We both reached the door at the same time. B: ___.,Before you,After you,Behind you,Following you,1,誰かを自分の前に行かせるための丁寧な表現。,casual,easy,polite,Social,ドアを開けたり、列に並んだりする時によく使われます
TP0076,"A: I broke your mug, sorry! B: ___.",Don't cry it,Don't sweat it,Don't tear it,Don't bleed it,1,心配したり謝ったりする必要はないと言う表現。,casual,medium,casual,Emotion,No worriesと同じように使われます
TP0077,A: Why did you two break up? B: Let's ___.,drop the subject,fall the subject,throw the subject,toss the subject,0,不快な話題について話すのをやめること。,casual,medium,casual,Social,話したくないことを避ける時に使われます
TP0078,"A: It's not you, it's me. B: What are you ___?",getting to,getting at,getting on,getting in,1,誰かが間接的に何を言おうとしているのかを尋ねる表現。,casual,medium,casual,Communication,相手の真意を探る時に使われます
TP0079,"A: Did you hear what I said? B: Sorry, I ___.",spaced out,zoned out,blanked out,cleared out,1,一時的に注意を失う、または上の空になること。,slang,medium,casual,Learning,話を聞いていなかった時の言い訳としてよく使われます
TP0080,A: Is the answer 42? B: You're ___.,on the right path,on the right road,on the right way,on the right track,3,正しい方向に向かっている、または正しい考え方をしていること。,idiom,medium,casual,Learning,正解ではないが、惜しい時に使われます
TP0081,A: It was the worst day of my life! B: You're ___.,being dramatic,being theatrical,being cinematic,being acting,0,些細なことに大げさに反応すること。,casual,medium,casual,Emotion,少しからかうようなニュアンスが含まれます
TP0082,A: Come in! B: Thanks for ___.,inviting me,having me,calling me,bringing me,1,招待されたことに対する感謝の表現。,casual,easy,polite,Social,誰かの家やイベントに到着した時によく使われます
TP0083,A: I'll work until midnight. B: Don't ___.,push yourself,pull yourself,drag yourself,force yourself,0,限界を超えて無理をしないようにアドバイスする表現。,casual,easy,friendly,Emotion,相手の健康や疲労を気遣う時に使われます
TP0084,A: Is this the final version? B: It's good enough ___.,for today,for now,for the moment,for the time,1,「現在のところ」または「一時的に」という意味。,casual,easy,casual,"Time, Description",後で変更する可能性がある時に使われます
TP0085,A: Where should we eat? B: ___.,It's on you,It's up to you,It's down to you,It's for you,1,決定を相手に委ねる表現。,casual,easy,casual,Action,自分がどちらでもいい時によく使われます
TP0086,A: How was the concert? B: It was ___.,out of this world,out of this earth,out of this planet,out of this universe,0,非常に素晴らしい、または信じられないほど良いもの。,idiom,medium,casual,"Social, Action",期待を大きく上回った時に使われます
TP0087,A: I think pigs can fly. B: ___.,When birds swim,When dogs speak,When cats bark,When pigs fly,3,起こるのが絶対に不可能なこと。,idiom,medium,casual,Emotion,相手のありえない発言に対して冗談めかして使われます
TP0088,A: The show was canceled. B: What a ___.,bummer,downer,sinker,faller,0,がっかりするもの、または期待外れなもの。,slang,easy,casual,Emotion,カジュアルに同情や落胆を示す時によく使われます
TP0089,A: I won the lottery! B: ___.,You're pulling my arm,You're pulling my hand,You're pulling my leg,You're pulling my foot,2,誰かをからかったり、冗談を言ったりすること。,idiom,medium,casual,Emotion,信じられない話を聞いた時の反応として使われます
TP0090,A: I'm moving to London. B: Let's ___.,keep in mind,keep in touch,keep in sight,keep in hand,1,離れていても定期的に連絡を取り続けること。,casual,easy,friendly,"Communication, Social",別れの際の定番のフレーズです
TP0091,A: Are you sure about this? B: I'm having ___.,second thoughts,third thoughts,other thoughts,new thoughts,0,下した決定に疑問を持ち始めること。,idiom,medium,casual,"Emotion, Action",迷いが生じた時に使われます
TP0092,A: These boxes are heavy. B: Let me ___.,give you an arm,give you a hand,give you a finger,give you a shoulder,1,誰かを助けること。,idiom,easy,friendly,Action,物理的な手伝いだけでなく、様々な支援に使われます
TP0093,A: I failed because I didn't study. B: ___.,You asked for it,You begged for it,You called for it,You wished for it,0,自分自身の悪い行動のせいで悪い結果を招くこと。,casual,medium,casual,Emotion,少し冷たい、または厳しい言い方です
TP0094,A: Maybe we should wait for a better deal. B: ___.,You have a point,You have a dot,You have a mark,You have a spot,0,誰かの意見や主張が妥当であることを認めること。,casual,easy,casual,Social,議論の中で相手に同意する時によく使われます
TP0095,A: The client rejected our proposal. B: Back to ___.,circle one,triangle one,square one,line one,2,最初からやり直すこと。,idiom,medium,casual,Action,計画が失敗して振り出しに戻った時に使われます
TP0096,"A: Did you finish the essay? B: Yes, ___.",in the cut of time,in the nick of time,in the slice of time,in the edge of time,1,手遅れになる直前の、ぎりぎりのタイミングで。,idiom,medium,casual,Time,間一髪で間に合った時によく使われます
TP0097,A: Don't tell anyone about this. B: My ___.,mouth is closed,lips are sealed,tongue is tied,teeth are locked,1,絶対に秘密を守るという約束。,idiom,medium,casual,"Description, Social",相手を安心させるために使われます
TP0098,A: What are you doing tonight? B: I need to ___.,hit the books,hit the notes,hit the pages,hit the papers,0,非常に一生懸命勉強すること。,idiom,medium,casual,Learning,学生がよく使うスラング的な表現です
TP0099,A: I forgot my ID. B: Can you ___ this time?,let it slip,let it slide,let it fall,let it drop,1,ルール違反や間違いを罰することなく見逃すこと。,idiom,medium,casual,"Emotion, Action",少しだけルールを曲げてほしい時に頼む表現です
TP0100,"A: I forgot my wallet. B: Don't worry, ___.",it's on me,it's for me,it's to me,it's with me,0,自分が支払うという意味の表現。,casual,easy,friendly,"Money, Food",食事などで気前よく支払う時によく使われます
TP0101,"A: The professor asked us to ___ our sources. B: Okay, I'll add them to the bibliography.",site,sight,cite,side,2,学術論文やレポートで情報源を引用すること。,academic,easy,formal,Learning,大学などの学術的な場面でよく使われます
TP0102,"A: I'd like to book a ___ ticket to London. B: Sure, returning on which date?",circle-trip,round-trip,square-trip,line-trip,1,往復の旅行のこと。片道はone-wayと言います。,travel,easy,polite,Travel,旅行の予約で必須の表現です
TP0103,"A: He is known to ___ when faced with tough questions. B: Yeah, he never gives a straight answer.",beat around the bush,hit around the tree,kick around the grass,punch around the leaf,0,遠回しに言うこと、要点を避けること。,idiom,hard,casual,Communication,直答を避ける人を描写する際によく使われます
TP0104,A: Please ___ the attached document for your review. B: Will do.,find,look,see,watch,0,添付ファイルを確認してほしい時に使うビジネスの定型文。,business_formal,medium,professional,Work,Please find attached...はビジネスメールの定番です
TP0105,"A: I can't believe she wore that to the wedding! B: I know, it's a major ___.",faux pas,false step,bad move,wrong turn,0,社交上の失敗や無作法な振る舞いのこと。,pop_culture,hard,judgmental,Social,フランス語由来ですが英語として定着しています
TP0106,"A: The doctor said it's just a ___ tumor, nothing to worry about. B: Thank goodness!",benign,polite,kind,gentle,0,腫瘍などが良性であること（悪性はmalignant）。,medical,hard,professional,Health,医療の文脈で非常に重要な単語です
TP0107,A: I plead the ___. B: You can't just refuse to answer!,fourth,fifth,sixth,seventh,1,黙秘権を行使すること（アメリカ合衆国憲法修正第5条から）。,legal,hard,defensive,"Action, Communication",日常会話でも「答えたくない」と冗談めかして使われます
TP0108,A: Can I get this shirt in a medium? B: Let me check if we have it in ___.,stock,store,stash,stack,0,商品の在庫があること。,shopping,easy,polite,Money,買い物の際によく使われる表現です
TP0109,"A: How would you like your steak? B: Medium-___, please.",rare,raw,red,blood,0,ステーキの焼き加減の一つ。,dining,easy,polite,Food,レストランでの注文で必須の表現です
TP0110,A: We need to ___ the data before the presentation. B: I'll double-check the numbers.,crunch,crush,smash,break,0,大量のデータや数値を処理・計算すること。,workplace,medium,casual,Learning,ITや金融業界でよく使われるスラングです
TP0111,"A: Are you going to the concert? B: No, the tickets cost an arm and a ___.",hand,foot,leg,toe,2,非常に値段が高いこと。,idiom,medium,casual,Money,日常会話でよく使われる誇張表現です
TP0112,A: She always ___ when she talks about her kids. B: She must be very proud.,brags,drags,flags,snags,0,自慢すること。,casual,easy,casual,Social,ネガティブなニュアンスを含むことが多いです
TP0113,A: The new policy will be implemented across the ___. B: Everyone is affected?,table,board,desk,floor,1,全体にわたって、一律に。,business_formal,hard,professional,Work,会社全体や組織全体に適用される時に使われます
TP0114,"A: I can't stand his ___. B: Yeah, he always thinks he's better than everyone.",arrogance,elegance,ignorance,innocence,0,傲慢さ、思い上がり。,academic,medium,formal,Social,人の性格を批判する際に使われます
TP0115,"A: Let's ___ the bill. B: Good idea, I only had a salad.",break,cut,split,tear,2,割り勘にすること。,dining,easy,casual,"Money, Food",友人との食事でよく使われます
TP0116,"A: The flight was delayed due to ___ weather. B: Oh no, I hope it clears up.",inclement,increment,implement,compliment,0,悪天候のこと。,travel,hard,formal,Travel,ニュースや空港のアナウンスで使われるフォーマルな表現です
TP0117,A: I'm feeling under the ___ today. B: You should go home and rest.,cloud,storm,rain,weather,3,体調が優れないこと。,idiom,easy,casual,Health,詳細を言わずに体調不良を伝える定番フレーズです
TP0118,"A: She has a ___ for languages. B: Yeah, she learned Spanish in three months.",knack,crack,snack,track,0,特定の事柄に対する天性の才能やコツ。,casual,medium,friendly,Learning,人の特技を褒める時によく使われます
TP0119,A: The suspect was released on ___. B: Who paid for it?,bail,jail,mail,tail,0,保釈、または保釈金のこと。,legal,medium,formal,Action,ニュースで頻繁に耳にする単語です
TP0120,A: This new software is a ___ changer! B: It really makes our work so much easier.,game,life,world,time,0,状況を一変させるような画期的なもの。,workplace,easy,enthusiastic,Work,新製品や新システムを絶賛する際によく使われます
TP0121,"A: We need to ___ the meeting until next week. B: Okay, I'll update the calendar.",put off,take off,set off,make off,0,予定を延期すること。,workplace,easy,professional,"Time, Work",postponeのカジュアルな言い換え。
TP0122,"A: Did you understand the lecture? B: Not at all, it was completely over my ___.",mind,brain,head,face,2,内容が難しすぎて理解できないこと。,idiom,medium,casual,Learning,over my headで「私の理解を超えている」という意味。
TP0123,A: How was the exam? B: I ___ it! I'm sure I got an A.,nailed,hammered,screwed,drilled,0,何かを完璧にやり遂げること。,slang,easy,enthusiastic,"Social, Learning",テストや面接などで大成功した時によく使われます。
TP0124,"A: I can't believe he said that to the boss. B: Yeah, he really put his foot in his ___.",shoe,sock,mouth,pocket,2,うっかり失言をしてしまうこと。,idiom,hard,casual,"Action, Social",相手を怒らせたり恥をかいたりするような発言をした時に使われます。
TP0125,"A: I'm going to grab a coffee. Do you want anything? B: No, I'm ___.",full,set,done,finished,1,今のままで十分、何も必要ないという意味。,casual,easy,casual,"Communication, Food",申し出を軽く断る時に I'm good と同じように使われます。
TP0126,"A: Is the project finished? B: Almost, we just need to wrap things ___.",in,out,up,down,2,物事を終わらせる、まとめること。,workplace,medium,professional,Work,会議やプロジェクトの終盤によく使われます。
TP0127,A: I think I'm coming down with a ___. B: You should rest.,bug,worm,insect,fly,0,軽い病気（風邪など）にかかり始めていること。,casual,medium,casual,Health,come down with a bug で「風邪気味だ」という意味。
TP0128,"A: Did she get the promotion? B: Yes, it's a done ___.",thing,work,job,deal,3,既に決定・完了していて、変更不可能なこと。,idiom,medium,professional,"Work, Action",交渉や契約が成立した時にも使われます。
TP0129,A: I'm so stressed out. B: Hang in ___! It'll be over soon.,there,here,out,up,0,困難な状況でも諦めずに頑張るように励ます言葉。,idiom,easy,friendly,Action,苦境に立たされている人への定番の励ましフレーズ。
TP0130,A: Can you finish this by tomorrow? B: I'll do my ___.,most,best,top,peak,1,全力を尽くすこと。,casual,easy,polite,"Work, Action",do one's best で「ベストを尽くす」。
